Date,Open,High,Low,Close,Volume,- SPREAD -,
,,,,,,(High-Low),(Open-Close)
11-07-2017,192.95,194.95,185,185.7,4347,9.95,7.25
10-07-2017,184.2,188.5,184.2,188.45,462,4.3,-4.25
07-07-2017,190,190,184.2,184.65,2720,5.8,5.35
06-07-2017,187.95,192.4,187.5,188.05,3717,4.9,-0.1
05-07-2017,190.4,192.2,185.75,189.65,3791,6.45,0.75
04-07-2017,187,189,184.6,188.5,2265,4.4,-1.5
03-07-2017,184,189,182.6,185.95,5421,6.4,-1.95
30-06-2017,185.1,193.5,183.5,184,1360,10,1.1
29-06-2017,183,193.4,183,185.25,7054,10.4,-2.25
28-06-2017,188,188,181.5,183.05,2493,6.5,4.95
27-06-2017,186.3,188,181.05,185.95,3419,6.95,0.35
23-06-2017,192,192,182.65,185.2,9592,9.35,6.8
22-06-2017,186,203,182.6,191.35,23906,20.4,-5.35
21-06-2017,184,184,180,182.25,6782,4,1.75
20-06-2017,187,190,182.5,184,6344,7.5,3
19-06-2017,192,196,184.95,185.9,9067,11.05,6.1
16-06-2017,191.2,195,188,193.4,9255,7,-2.2
15-06-2017,185,194.9,182.5,188.4,5564,12.4,-3.4
14-06-2017,189,190.15,183.15,185,186,7,4
13-06-2017,180.1,194.9,180,189.15,190,14.9,-9.05
12-06-2017,162.5,187.1,162.5,180.35,14973,24.6,-17.85
09-06-2017,166,166,162.2,162.55,6872,3.8,3.45
08-06-2017,166.2,167.45,161.8,162.8,2561,5.65,3.4
07-06-2017,160.7,165.25,160.7,164.2,3152,4.55,-3.5
06-06-2017,162.6,166.7,161,162,2056,5.7,0.6
05-06-2017,164,165.75,161.7,162.4,9528,4.05,1.6
02-06-2017,172,172,162.25,163.45,9422,9.75,8.55
01-06-2017,171.1,171.2,165.8,167.35,2199,5.4,3.75
31-05-2017,169,169.95,163.7,168.6,4931,6.25,0.4
30-05-2017,171,171,162,164.55,2330,9,6.45
29-05-2017,169.2,173,163,167,1570,10,2.2
26-05-2017,163.7,174.75,161.7,167.15,10108,13.05,-3.45
25-05-2017,171,171,165.7,168.65,3525,5.3,2.35
24-05-2017,176.1,176.65,163.9,165,11215,12.75,11.1
23-05-2017,172,178,172,175.6,1873,6,-3.6
22-05-2017,182,182,172.1,173,3853,9.9,9
19-05-2017,181,182.25,176,176.35,5800,6.25,4.65
18-05-2017,181.2,182.6,177.4,179.2,3365,5.2,2
